Average Working hours,Life Expectency,Year,Country
33.7423072228065,80.1,2001,Australia
33.4673086313101,80.3,2002,Australia
33.4115389310397,80.6,2003,Australia
33.5961538461538,80.9,2004,Australia
33.2980769230769,81.2,2005,Australia
33.140385554387,81.4,2006,Australia
33.109614445613,81.5,2007,Australia
28.046154315655,78.4,2001,Germany
27.796154315655,78.6,2002,Germany
27.671154315655,78.8,2003,Germany
27.7230764535757,79.2,2004,Germany
27.594231238732,79.4,2005,Germany
27.5519221379207,79.7,2006,Germany
27.5576923076923,79.9,2007,Germany
34.7884615384615,81.3,2001,Japan
34.5769230769231,81.6,2002,Japan
34.5884610689603,81.7,2003,Japan
34.3653846153846,81.9,2004,Japan
34.1346153846154,82,2005,Japan
34.3076923076923,82.2,2006,Japan
34.3269230769231,82.4,2007,Japan
48.1923076923077,59.2,2001,"Korea, Rep."
47.4038461538462,59.3,2002,"Korea, Rep."
46.8076923076923,69.9,2003,"Korea, Rep."
46.0384615384615,70,2004,"Korea, Rep."
45.265385554387,70.2,2005,"Korea, Rep."
44.3269230769231,70.4,2006,"Korea, Rep."
44.3269230769231,70.6,2007,"Korea, Rep."
26.3846153846154,78.3,2001,Netherlands
25.9230769230769,78.5,2002,Netherlands
26.2115384615385,78.7,2003,Netherlands
26.1923076923077,79.1,2004,Netherlands
26.4423076923077,79.6,2005,Netherlands
26.75,79.9,2006,Netherlands
26.7692307692308,80.2,2007,Netherlands
27.4826918381911,78.9,2001,Norway
27.1942302997296,79.1,2002,Norway
26.8961533766526,79.5,2003,Norway
27.2557701697716,79.8,2004,Norway
27.3076923076923,80.2,2005,Norway
27.0807682917668,80.4,2006,Norway
27.1365379920373,80.6,2007,Norway
34.8269230769231,76.9,2001,United States
34.75,77.1,2002,United States
34.5576923076923,77.3,2003,United States
34.5961538461538,77.6,2004,United States
34.5192307692308,77.6,2005,United States
34.5576923076923,77.8,2006,United States
34.5,78.1,2007,United States
