#Datasets, Alice06, Alice00, Bob03, Alice01, Bob00, Alice34, Bob01, Alice03, Bob06, Bob08, Alice08, Bob34
"Amino Acids and Derivatives", 701247.0, 494617.0, 921252.0, 465528.0, 745094.0, 624270.0, 653621.0, 405434.0, 698798.0, 850279.0, 658096.0, 764426.0
"Arabinose Sensor and transport module", 12.0, 34.0, 16.0, 11.0, 7.0, 36.0, 10.0, 84.0, 84.0, 23.0, 7.0, 12.0
"Autotrophy", 827.0, 729.0, 2014.0, 640.0, 1905.0, 594.0, 1595.0, 571.0, 1335.0, 1368.0, 905.0, 2069.0
"Carbohydrates", 1158982.0, 833410.0, 1920413.0, 775296.0, 1459261.0, 990409.0, 1245319.0, 620417.0, 1441432.0, 1684842.0, 1127793.0, 1464997.0
"Cell Division and Cell Cycle", 162819.0, 113517.0, 198032.0, 102675.0, 194158.0, 135815.0, 165392.0, 85731.0, 157670.0, 184679.0, 154546.0, 191675.0
"Cell Wall and Capsule", 352190.0, 254475.0, 627608.0, 233288.0, 442788.0, 320973.0, 387775.0, 189929.0, 458523.0, 543686.0, 330550.0, 451484.0
"Central metabolism", 1974.0, 3666.0, 1269.0, 2663.0, 3994.0, 2693.0, 3531.0, 1806.0, 2911.0, 2582.0, 5750.0, 3907.0
"Cofactors, Vitamins, Prosthetic Groups, Pigments", 635169.0, 451148.0, 871489.0, 417927.0, 678054.0, 593432.0, 597487.0, 355045.0, 660065.0, 795048.0, 609053.0, 690298.0
"DNA Metabolism", 385594.0, 368227.0, 693073.0, 343498.0, 517198.0, 435853.0, 450977.0, 257203.0, 531208.0, 635269.0, 363222.0, 511382.0
"Dormancy and Sporulation", 12700.0, 24251.0, 29967.0, 23220.0, 19005.0, 20344.0, 22011.0, 21483.0, 32540.0, 25135.0, 14631.0, 19023.0
"Fatty Acids, Lipids, and Isoprenoids", 131419.0, 97679.0, 190587.0, 89468.0, 151023.0, 120756.0, 133132.0, 78363.0, 145933.0, 174927.0, 127470.0, 155744.0
"General Stress Response and Stationary Phase Response", 0.0, 34.0, 0.0, 36.0, 13.0, 65.0, 27.0, 17.0, 1.0, 1.0, 0.0, 7.0
"Iron acquisition and metabolism", 173881.0, 143129.0, 452320.0, 121136.0, 279375.0, 126620.0, 238790.0, 72285.0, 324279.0, 377125.0, 166448.0, 275969.0
"Membrane Transport", 211197.0, 181207.0, 499604.0, 157794.0, 325375.0, 188859.0, 276187.0, 101421.0, 358415.0, 421232.0, 201518.0, 322254.0
"Metabolism of Aromatic Compounds", 46730.0, 28739.0, 63041.0, 26418.0, 48918.0, 32326.0, 41862.0, 22593.0, 45087.0, 55223.0, 41442.0, 50000.0
"Metabolite damage and its repair or mitigation", 159911.0, 110983.0, 191502.0, 103207.0, 160362.0, 144891.0, 138961.0, 92391.0, 145248.0, 180381.0, 154286.0, 163581.0
"Miscellaneous", 395762.0, 274201.0, 525529.0, 259868.0, 427446.0, 345841.0, 370676.0, 212424.0, 395416.0, 485541.0, 378763.0, 433286.0
"Mitochondrial electron transport system in plants", 22117.0, 18108.0, 25920.0, 17238.0, 20431.0, 23811.0, 18426.0, 13525.0, 22725.0, 22594.0, 21079.0, 21428.0
"Motility and Chemotaxis", 27192.0, 24132.0, 39514.0, 20019.0, 34050.0, 40446.0, 31868.0, 20368.0, 38360.0, 32607.0, 25206.0, 32657.0
"Nitrogen Metabolism", 53746.0, 50490.0, 106764.0, 45892.0, 79842.0, 62157.0, 71017.0, 36726.0, 80911.0, 94904.0, 48457.0, 84737.0
"Nucleosides and Nucleotides", 261081.0, 180718.0, 355787.0, 167059.0, 270172.0, 221385.0, 237270.0, 144785.0, 269134.0, 327172.0, 248075.0, 278318.0
"Nucleotide sugars", 49070.0, 33785.0, 85340.0, 32582.0, 52736.0, 46940.0, 48551.0, 29821.0, 63136.0, 73511.0, 45694.0, 56113.0
"Phages, Prophages, Transposable elements", 24942.0, 16456.0, 28826.0, 15465.0, 23714.0, 18690.0, 20940.0, 13653.0, 21647.0, 27842.0, 23426.0, 23791.0
"Phages, Prophages, Transposable elements, Plasmids", 200192.0, 215231.0, 302256.0, 208841.0, 294595.0, 205600.0, 244831.0, 136872.0, 227822.0, 258637.0, 165456.0, 281312.0
"Phosphorus Metabolism", 85486.0, 52503.0, 132425.0, 45014.0, 97660.0, 71553.0, 83643.0, 41336.0, 96726.0, 120233.0, 78617.0, 97702.0
"Photosynthesis", 100.0, 141.0, 2.0, 110.0, 5.0, 2553.0, 4.0, 7.0, 2.0, 1.0, 16.0, 2.0
"Plant cell walls and outer surfaces", 10943.0, 8023.0, 31162.0, 6601.0, 9156.0, 6994.0, 9230.0, 9552.0, 25710.0, 24203.0, 9959.0, 11433.0
"Plant Glucosinolates", 21420.0, 15516.0, 22431.0, 14437.0, 20616.0, 19573.0, 18775.0, 13406.0, 17721.0, 21299.0, 20297.0, 20836.0
"Plastidial (cyanobacterial) electron transport system", 0.0, 9.0, 5.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 3.0, 0.0, 0.0
"Polyamines", 5459.0, 4751.0, 7280.0, 4808.0, 5493.0, 5112.0, 5008.0, 4216.0, 5549.0, 7003.0, 5345.0, 5151.0
"Potassium metabolism", 87098.0, 49099.0, 98056.0, 42032.0, 85291.0, 71088.0, 72161.0, 36859.0, 71005.0, 89136.0, 86722.0, 83406.0
"Predictions based on plant-prokaryote comparative analysis", 43156.0, 30625.0, 54906.0, 28570.0, 46263.0, 35680.0, 40338.0, 21634.0, 40795.0, 50206.0, 42375.0, 46048.0
