Average Working hours,Life Expectency,Year,Country
34.1365379920373,77.4,1991,Australia
34.3365384615385,77.6,1992,Australia
34.6038466233474,77.9,1993,Australia
34.7442298302284,78.1,1994,Australia
34.6634615384615,78.3,1995,Australia
34.5961538461538,78.5,1996,Australia
34.5230759840745,78.8,1997,Australia
34.3942307692308,79.2,1998,Australia
34.3634620079627,79.4,1999,Australia
34.3326932466947,79.8,2000,Australia
33.7423072228065,80.1,2001,Australia
33.4673086313101,80.3,2002,Australia
33.4115389310397,80.6,2003,Australia
33.5961538461538,80.9,2004,Australia
33.2980769230769,81.2,2005,Australia
33.140385554387,81.4,2006,Australia
33.109614445613,81.5,2007,Australia
29.7711533766526,75.6,1991,Germany
30.1192298302284,76,1992,Germany
29.8057697002704,76.1,1993,Germany
29.7538452148438,76.4,1994,Germany
29.4923072228065,76.6,1995,Germany
29.1884624774639,76.9,1996,Germany
29.0134605994591,77.3,1997,Germany
28.9096163236178,77.6,1998,Germany
28.6865375225361,77.8,1999,Germany
28.3269230769231,78.1,2000,Germany
28.046154315655,78.4,2001,Germany
27.796154315655,78.6,2002,Germany
27.671154315655,78.8,2003,Germany
27.7230764535757,79.2,2004,Germany
27.594231238732,79.4,2005,Germany
27.5519221379207,79.7,2006,Germany
27.5576923076923,79.9,2007,Germany
38.4230769230769,79.1,1991,Japan
37.7884615384615,79.3,1992,Japan
36.6346153846154,79.4,1993,Japan
36.5,79.8,1994,Japan
36.2307692307692,79.7,1995,Japan
36.3846153846154,80.2,1996,Japan
35.8653846153846,80.4,1997,Japan
35.4230769230769,80.5,1998,Japan
34.8153850848858,80.6,1999,Japan
35.0250009390024,81,2000,Japan
34.7884615384615,81.3,2001,Japan
34.5769230769231,81.6,2002,Japan
34.5884610689603,81.7,2003,Japan
34.3653846153846,81.9,2004,Japan
34.1346153846154,82,2005,Japan
34.3076923076923,82.2,2006,Japan
34.3269230769231,82.4,2007,Japan
51.3846153846154,69.2,1991,"Korea, Rep."
50.9615384615385,69.4,1992,"Korea, Rep."
51.2884615384615,69.6,1993,"Korea, Rep."
50.9807692307692,69.7,1994,"Korea, Rep."
51.1153846153846,58.6,1995,"Korea, Rep."
50.9230769230769,58.7,1996,"Korea, Rep."
49.8461538461538,58.8,1997,"Korea, Rep."
48,58.9,1998,"Korea, Rep."
48.1153846153846,59,1999,"Korea, Rep."
48.4615384615385,59.1,2000,"Korea, Rep."
48.1923076923077,59.2,2001,"Korea, Rep."
47.4038461538462,59.3,2002,"Korea, Rep."
46.8076923076923,69.9,2003,"Korea, Rep."
46.0384615384615,70,2004,"Korea, Rep."
45.265385554387,70.2,2005,"Korea, Rep."
44.3269230769231,70.4,2006,"Korea, Rep."
44.3269230769231,70.6,2007,"Korea, Rep."
28.2884615384615,77.2,1991,Netherlands
27.8269230769231,77.3,1992,Netherlands
27.2884615384615,77.2,1993,Netherlands
27.1346153846154,77.5,1994,Netherlands
26.75,77.6,1995,Netherlands
27.3269230769231,77.6,1996,Netherlands
27.1923076923077,77.9,1997,Netherlands
26.9230769230769,78.1,1998,Netherlands
26.5576923076923,78,1999,Netherlands
26.3846153846154,78.1,2000,Netherlands
26.3846153846154,78.3,2001,Netherlands
25.9230769230769,78.5,2002,Netherlands
26.2115384615385,78.7,2003,Netherlands
26.1923076923077,79.1,2004,Netherlands
26.4423076923077,79.6,2005,Netherlands
26.75,79.9,2006,Netherlands
26.7692307692308,80.2,2007,Netherlands
28.8519240159255,77,1991,Norway
29.0403841458834,77.1,1992,Norway
28.9788466233474,77.5,1993,Norway
28.9403850848858,77.7,1994,Norway
28.6115394005409,77.9,1995,Norway
28.5115379920373,78.2,1996,Norway
28.4134615384615,78.3,1997,Norway
28.3769226074219,78.3,1998,Norway
28.3346158541166,78.5,1999,Norway
27.984614445613,78.6,2000,Norway
27.4826918381911,78.9,2001,Norway
27.1942302997296,79.1,2002,Norway
26.8961533766526,79.5,2003,Norway
27.2557701697716,79.8,2004,Norway
27.3076923076923,80.2,2005,Norway
27.0807682917668,80.4,2006,Norway
27.1365379920373,80.6,2007,Norway
34.9038461538462,75.5,1991,United States
34.9230769230769,75.8,1992,United States
35.0961538461538,75.7,1993,United States
35.25,75.8,1994,United States
35.3846153846154,75.9,1995,United States
35.2307692307692,76.3,1996,United States
35.4230769230769,76.6,1997,United States
35.4423076923077,76.8,1998,United States
35.4615384615385,76.9,1999,United States
35.2307692307692,76.9,2000,United States
34.8269230769231,76.9,2001,United States
34.75,77.1,2002,United States
34.5576923076923,77.3,2003,United States
34.5961538461538,77.6,2004,United States
34.5192307692308,77.6,2005,United States
34.5576923076923,77.8,2006,United States
34.5,78.1,2007,United States
